BCL6,NOTCH2
BCL6,NPL
BCL6,NR4A3
BCL6,NUMB
BCL6,OTUD7B
BCL6,PARPBP
BCL6,PCLAF
BCL6,PCNA
BCL6,PCOTH
BCL6,PDLIM5
BCL6,PELI1
BCL6,PELI2
BCL6,PIK3R3
BCL6,PLSCR1
BCL6,PLXNC1
BCL6,PMEPA1
BCL6,POU2AF1
BCL6,PPCDC
BCL6,PRELID2
BCL6,PSIP1
BCL6,RAB30
BCL6,RFC3
BCL6,RFX2
BCL6,RGCC
BCL6,RHOB
BCL6,RILPL2
BCL6,RMDN2
BCL6,RNF220
BCL6,RNLS
BCL6,SAMSN1
BCL6,SAT1
BCL6,SCLT1
BCL6,SFXN5
BCL6,SGK1
BCL6,SGPP2
BCL6,SLC31A2
BCL6,SLC41A2
BCL6,SMC1B
BCL6,SMC2
BCL6,SOX5
BCL6,SP140
BCL6,SPECC1
BCL6,SRGN
BCL6,STAT1
BCL6,STXBP4
BCL6,SUMF1
BCL6,TBC1D32
BCL6,TMEM156
BCL6,TMEM170B
BCL6,TMSB4X
BCL6,TNFAIP3
BCL6,TUBA1A
BCL6,ULK2
BCL6,USP54
BCL6,XBP1
BCL6,ZFAND5
BCL6,ZFAT
BCL6,ZNF235
BCL6,ZNF331
BCL6,ZRANB2-AS2
BCL6,ZSWIM6
BRD4,ABCB9
BRD4,ABHD5
BRD4,ABI3
BRD4,ABTB2
BRD4,ACACA
BRD4,ACER2
BRD4,ACSL1
BRD4,ACSM3
BRD4,ACTG1
BRD4,ACVR2A
BRD4,ADAM22
BRD4,ADAMTS17
BRD4,ADGRE5
BRD4,AFG1L
BRD4,AHCYL2
BRD4,AIG1
BRD4,AK8
BRD4,ALOX5AP
BRD4,ALPK1
BRD4,ANK3
BRD4,ANO10
BRD4,ANTXR2
BRD4,ANXA1
BRD4,ANXA4
BRD4,AOAH
BRD4,AP1S3
BRD4,APLF
BRD4,APP
BRD4,AREG
BRD4,ARG2
BRD4,ARHGAP11B
BRD4,ARHGAP26
BRD4,ARHGAP31
BRD4,ARID5B
BRD4,ARMC2-AS1
BRD4,ARSB
BRD4,ASAH1
BRD4,ASPM
BRD4,ATAD2
BRD4,ATAD5
BRD4,ATF3
BRD4,ATF4
BRD4,ATF7IP2
BRD4,ATG10
BRD4,ATG7
BRD4,ATP1B3
BRD4,ATP2B1
BRD4,ATP2B1-AS1
BRD4,ATP2B4
BRD4,ATP6V0A2
BRD4,ATRN
BRD4,AUNIP
BRD4,AVEN
BRD4,BACH1
BRD4,BACH2
BRD4,BATF
