Gene1,Gene2
ATF2,MTA3
ATF2,MUC22
ATF2,MXI1
ATF2,MYB
ATF2,MYC
ATF2,MYH7B
ATF2,NBN
ATF2,NCALD
ATF2,NCR3
ATF2,NDOR1
ATF2,NEDD9
ATF2,NEK8
ATF2,NFKB2
ATF2,NFXL1
ATF2,NIP7
ATF2,NME6
ATF2,NOS1AP
ATF2,NOVA1
ATF2,NPAS4
ATF2,NPHP1
ATF2,NR2C2
ATF2,NUDT8
ATF2,NXT1
ATF2,OGFOD2
ATF2,OPRD1
ATF2,OR2L13
ATF2,ORMDL2
ATF2,OSCAR
ATF2,OTUB2
ATF2,PCDH1
ATF2,PCGF1
ATF2,PDE1A
ATF2,PDE4D
ATF2,PDE7B
ATF2,PELP1
ATF2,PEX19
ATF2,PEX6
ATF2,PGAP2
ATF2,PGBD2
ATF2,PHB
ATF2,PINX1
ATF2,PIP5K1B
ATF2,PKIB
ATF2,PLEKHG7
ATF2,PLOD3
ATF2,POC1A
ATF2,POLR2E
ATF2,PPAN
ATF2,PPFIA3
ATF2,PPFIA4
ATF2,PPM1M
ATF2,PPOX
ATF2,PPP2R5B
ATF2,PPT2-EGFL8
ATF2,PRDM15
ATF2,PRRT3
ATF2,PSRC1
ATF2,PTK2
ATF2,PYCR1
ATF2,RAB4B
ATF2,RABAC1
ATF2,RABGAP1L
ATF2,RAD51
ATF2,RAPGEF2
ATF2,RAVER1
ATF2,RBP5
ATF2,RBPJ
ATF2,RCAN1
ATF2,RCOR1
ATF2,REL
ATF2,RELA
ATF2,RFX5
ATF2,RGS2
ATF2,RHBDL3
ATF2,RHEBL1
ATF2,RHOG
ATF2,RNF31
ATF2,RPS26
ATF2,RRNAD1
ATF2,RUVBL2
ATF2,S1PR2
ATF2,SAMSN1
ATF2,SARS2
ATF2,SCAF1
ATF2,SCG2
ATF2,SCNM1
ATF2,SCO2
ATF2,SERPINB2
ATF2,SERTAD1
ATF2,SERTAD3
ATF2,SETBP1
ATF2,SGSM2
ATF2,SH2D2A
ATF2,SHF
ATF2,SIX5
ATF2,SKIL
ATF2,SLAMF1
ATF2,SLC25A45
ATF2,SLC35B2
ATF2,SLC44A2
ATF2,SLC6A16
ATF2,SLC9C1
ATF2,SMAD1
ATF2,SMAD5
ATF2,SMARCD2
ATF2,SMC1A
ATF2,SP1
ATF2,SPAG4
ATF2,SPATC1L
ATF2,SPI1
ATF2,SREBF1
ATF2,SRF
ATF2,STAG1
ATF2,STAT1
ATF2,STOML2
ATF2,SULT2B1
ATF2,SUPT20H
ATF2,SUPT7L
ATF2,SWI5
ATF2,SYCE2
ATF2,SYN1
ATF2,SYT11
ATF2,TAGAP
ATF2,TBP
ATF2,TCF12
ATF2,TCF3
ATF2,TDRKH
ATF2,TESK1
ATF2,THAP3
ATF2,THAP9
ATF2,THTPA
ATF2,TINF2
ATF2,TMEM102
ATF2,TMEM179B
ATF2,TMEM234
ATF2,TMEM256
ATF2,TMEM53
ATF2,TMEM79
ATF2,TOP2A
ATF2,TP53INP2
ATF2,TPM1
ATF2,TRIM22
ATF2,TRIM28
ATF2,TRIM41
ATF2,TTC4
ATF2,TXLNB
ATF2,TXNIP
ATF2,UBXN1
ATF2,UNC5C
ATF2,USF1
ATF2,USP35
ATF2,VDR
ATF2,VIPR1
ATF2,WDR31
ATF2,WDR45B
ATF2,WDR6
ATF2,WDR74
ATF2,WRAP53
ATF2,WRNIP1
ATF2,YBEY
ATF2,ZBBX
ATF2,ZBTB40
ATF2,ZDHHC12
ATF2,ZEB1
ATF2,ZFAND2B
ATF2,ZFP3
ATF2,ZMAT5
ATF2,ZMYM1
ATF2,ZMYND12
ATF2,ZNF143
ATF2,ZNF169
ATF2,ZNF207
ATF2,ZNF211
ATF2,ZNF274
ATF2,ZNF295-AS1
ATF2,ZNF35
ATF2,ZNF384
ATF2,ZNF408
ATF2,ZNF524
ATF2,ZNF555
ATF2,ZNF568
ATF2,ZNF572
ATF2,ZNF622
ATF2,ZNF625
ATF2,ZNF653
ATF2,ZNF687
ATF2,ZNF732
ATF2,ZNF75A
ATF2,ZNF764
ATF2,ZZZ3
ATF3,AKR7A2
ATF3,ALDH16A1
ATF3,ALDH6A1
ATF3,ALKBH4
ATF3,AP5B1
ATF3,AP5S1
ATF3,ARFRP1
ATF3,B3GALT6
ATF3,BACH1
ATF3,BHLHB9
ATF3,BHLHE40
ATF3,BLOC1S1
ATF3,BRCA1
ATF3,C12orf73
ATF3,C19orf25
ATF3,C20orf27
ATF3,C6orf136
ATF3,CACFD1
ATF3,CACNB3
ATF3,CBX5
ATF3,CCDC157
ATF3,CD63
ATF3,CDIP1
ATF3,CDK2AP2
ATF3,CLN3
ATF3,CTCF
ATF3,DLG2
ATF3,E4F1
ATF3,EED
ATF3,EFCAB10
ATF3,EFCAB12
ATF3,EHMT2
ATF3,EPB41L4B
ATF3,FBXO15
ATF3,FBXW5
ATF3,FKBPL
ATF3,FOXM1
ATF3,GAA
ATF3,GEMIN7
ATF3,GLB1L
ATF3,GTF2H4
ATF3,HDAC2
ATF3,HDAC6
ATF3,HMGCL
ATF3,IPO4
ATF3,KDM5A
ATF3,KIAA2013
ATF3,KIFC2
ATF3,KLHDC9
ATF3,KLRG1
ATF3,LACTB2
ATF3,LARP7
ATF3,LINC00431
ATF3,LRRC43
ATF3,LZTFL1
ATF3,MAP1LC3B
ATF3,MAX
ATF3,MEA1
ATF3,MED13L
ATF3,METTL23
ATF3,MIB2
ATF3,MRPS33
ATF3,MST1
ATF3,MXI1
