Gene1,Gene2
ARID1B,BCORL1
ARID1B,BDP1
ARID1B,BECN1
ARID1B,BEST3
ARID1B,BNIP1
ARID1B,BPHL
ARID1B,BRAF
ARID1B,BRD9
ARID1B,BRF2
ARID1B,C12orf57
ARID1B,C16orf46
ARID1B,C16orf91
ARID1B,C19orf47
ARID1B,C4orf3
ARID1B,C4orf33
ARID1B,C5orf34
ARID1B,CABP5
ARID1B,CACTIN
ARID1B,CALM3
ARID1B,CAMTA2
ARID1B,CAND2
ARID1B,CBFA2T2
ARID1B,CBX1
ARID1B,CBX3
ARID1B,CBX5
ARID1B,CBX8
ARID1B,CCAR1
ARID1B,CCAR2
ARID1B,CCDC116
ARID1B,CCDC169
ARID1B,CCDC28A
ARID1B,CCDC71L
ARID1B,CCNJL
ARID1B,CCNT1
ARID1B,CD3D
ARID1B,CDADC1
ARID1B,CDC5L
ARID1B,CDK4
ARID1B,CDK8
ARID1B,CDKN3
ARID1B,CENPF
ARID1B,CHCHD3
ARID1B,CLTC
ARID1B,CNEP1R1
ARID1B,COIL
ARID1B,COPS2
ARID1B,CPSF3
ARID1B,CREB5
ARID1B,CRELD1
ARID1B,CREM
ARID1B,CRYM
ARID1B,CSDE1
ARID1B,CSTF2
ARID1B,CTF1
ARID1B,CTH
ARID1B,CTNNB1
ARID1B,CXCL2
ARID1B,DDX39B
ARID1B,DDX46
ARID1B,DHPS
ARID1B,DKKL1
ARID1B,DMAP1
ARID1B,DNAH14
ARID1B,DNMT1
ARID1B,DOK3
ARID1B,DSCR4
ARID1B,DUSP13
ARID1B,E2F6
ARID1B,E2F8
ARID1B,ECH1
ARID1B,EIF5B
ARID1B,ELF1
ARID1B,ELF2
ARID1B,ENDOV
ARID1B,ENO3
ARID1B,EPOR
ARID1B,ERAP2
ARID1B,ERI2
ARID1B,ETFDH
ARID1B,ETS2
ARID1B,EVI2B
ARID1B,FAF1
ARID1B,FAHD2B
ARID1B,FAM122C
ARID1B,FARS2
ARID1B,FBXO6
ARID1B,FBXW7
ARID1B,FGD2
ARID1B,FKBP9
ARID1B,FLYWCH2
ARID1B,FUS
ARID1B,FZD1
ARID1B,GABPB1
ARID1B,GABPB2
ARID1B,GADD45B
ARID1B,GALC
ARID1B,GALT
ARID1B,GLYCTK
ARID1B,GNB2
ARID1B,GORASP1
ARID1B,GPHN
ARID1B,GS1-124K5.11
ARID1B,GSTM4
ARID1B,GTF2A2
ARID1B,GTF2H2
ARID1B,GTF2IRD2B
ARID1B,HBD
ARID1B,HDAC2
ARID1B,HEPH
ARID1B,HMG20A
ARID1B,HNMT
ARID1B,HNRNPH1
ARID1B,HNRNPH2
ARID1B,HNRNPLL
ARID1B,HNRNPU
ARID1B,HNRNPUL1
ARID1B,HSP90AB1
ARID1B,IFI16
ARID1B,IFI27
ARID1B,IFI6
ARID1B,IGF2BP3
ARID1B,IGFL4
ARID1B,IL11RA
ARID1B,INTS5
ARID1B,IRF1
ARID1B,IRF9
ARID1B,IRGQ
ARID1B,JAGN1
ARID1B,JDP2
ARID1B,JMJD1C
ARID1B,JUN
ARID1B,JUNB
ARID1B,KAZN
ARID1B,KBTBD6
ARID1B,KLK1
ARID1B,KPNB1
ARID1B,LARP1
ARID1B,LINC00942
ARID1B,LINC01151
ARID1B,LMNB1
ARID1B,LRBA
ARID1B,LSMEM1
ARID1B,LTK
ARID1B,MAD2L1BP
ARID1B,MAFG
ARID1B,MAGEA6
ARID1B,MAN2C1
ARID1B,MATR3
ARID1B,MBD1
ARID1B,MCM7
ARID1B,MDN1
ARID1B,MECOM
ARID1B,MED10
ARID1B,MED18
ARID1B,MED7
ARID1B,MEF2C
ARID1B,MEIS2
ARID1B,MEN1
ARID1B,METTL14
ARID1B,MIF4GD
ARID1B,MKLN1
ARID1B,MOSPD3
ARID1B,MR1
ARID1B,MSH4
ARID1B,MTF2
ARID1B,MUL1
ARID1B,MYC
ARID1B,MYL6
ARID1B,NABP2
ARID1B,NAP1L1
ARID1B,NASP
ARID1B,NCAM2
ARID1B,NCAPH2
ARID1B,NCOA4
ARID1B,NDUFA4
ARID1B,NDUFA9
ARID1B,NDUFS3
ARID1B,NFE2
ARID1B,NFIA
ARID1B,NFS1
ARID1B,NKTR
ARID1B,NME1-NME2
ARID1B,NR2C1
ARID1B,NR2F1
ARID1B,NR4A1
ARID1B,NSMCE2
ARID1B,NUP214
ARID1B,OAZ2
ARID1B,OPHN1
